slug,event_type,r_bin_km,phi_aggregate_mean,phi_overlap_mean,n_rows,mean_n_tiles_overlap,frac_phi_overlap_zero,frac_phi_overlap_nan,time_min_hours,time_max_hours
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,190.0,1.091010490077831,1.0925201329245195,2,823.0,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,200.0,1.1133396548643821,1.1163446919506335,2,816.5,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,210.0,1.1275196031919845,1.1350363637167529,2,785.5,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,220.0,1.1116996991683634,1.1181294796215604,2,614.0,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,230.0,1.1417121888391066,1.147687664517512,2,562.5,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,240.0,1.036898769000587,1.042959712733166,2,602.0,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,250.0,1.0372374746244608,1.0429748819806326,2,528.0,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,260.0,1.0122449256575752,1.0130198711730878,2,483.5,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,270.0,1.0445188630092468,1.0405742784940892,2,549.5,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,280.0,1.12547643892115,1.128524746875759,2,548.5,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,290.0,1.1065099153509035,1.1091868136249698,2,559.0,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,300.0,1.0590831636018847,1.0730083671194572,2,575.5,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,310.0,1.0269763864562484,1.0245342940564848,2,480.0,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,320.0,1.0802809225347274,1.0849618164274801,2,593.0,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,330.0,1.1045339262552383,1.1035865249449754,2,677.5,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,340.0,1.0836103862326976,1.0838609901421088,2,833.0,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,350.0,1.0869771434545354,1.0917723960369552,2,745.5,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,360.0,1.126656063603098,1.1279015224992475,2,593.5,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,370.0,1.1001909019566374,1.1008711413152446,2,663.0,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,380.0,1.113680002499687,1.1131554170529698,2,708.5,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,390.0,1.1044236361838884,1.1081359865400406,2,699.5,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,400.0,1.1151332918074632,1.1139511008558074,2,713.5,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,410.0,1.129702714132356,1.1316170613213434,2,791.0,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,420.0,1.1026970346162348,1.1038254801831298,2,884.5,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,430.0,1.1004894868635335,1.0992798351127946,2,818.0,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,440.0,1.0890766300163621,1.0938492057759701,2,1026.5,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,450.0,1.0774983823979245,1.0770815666474578,2,1217.0,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,460.0,1.0925866590871807,1.0924037177410846,2,1217.5,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,470.0,1.1109874367463652,1.1111715345679218,2,1065.0,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,480.0,1.1085383464031162,1.1106227987805508,2,1105.0,0.0,0.0,24.0,72.0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,hurricane,490.0,1.0905122670496636,1.0914984958034966,2,1346.0,0.0,0.0,24.0,72.0
hurricane_john_across_southeastern_guerrero_mexico,hurricane,0.0,1.055516528851805,1.0620290517065194,2,49.5,0.0,0.0,24.0,72.0
