slug,r_bin_km,hours_since_peak,delta,n_tiles
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,70.0,72.0,-0.013611547739316832,60.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,80.0,72.0,-0.010530326912274957,62.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,90.0,72.0,-0.031982358560999624,113.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,100.0,72.0,0.029403085718252564,101.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,110.0,72.0,0.0197165187408479,95.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,120.0,72.0,-0.042375178495668964,79.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,130.0,72.0,-0.0398356202586152,48.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,140.0,72.0,-0.011541877088436014,41.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,150.0,72.0,0.04161977928191618,50.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,160.0,72.0,-0.013020172789366402,64.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,170.0,72.0,-0.08300293277076798,82.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,180.0,72.0,-0.01846619519439696,62.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,190.0,72.0,-0.015458516440990056,101.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,200.0,72.0,-0.02928544048181203,124.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,0.0,96.0,-0.09334832681658278,29.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,10.0,96.0,-0.05432085824947264,41.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,20.0,96.0,-0.07464758308207597,33.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,30.0,96.0,-0.00020070735186439315,33.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,40.0,96.0,-0.0316009787499798,42.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,50.0,96.0,0.0008988290754639028,66.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,60.0,96.0,-0.022483171780847244,70.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,70.0,96.0,-0.010290984250008184,61.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,80.0,96.0,-0.008499600093343829,67.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,90.0,96.0,-0.0263861429321276,114.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,100.0,96.0,0.0348261200954223,102.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,110.0,96.0,0.012960616126417523,98.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,120.0,96.0,-0.03812354607300261,77.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,130.0,96.0,0.006918245873607232,49.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,140.0,96.0,0.015724882721690037,46.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,150.0,96.0,0.020978330822619906,51.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,160.0,96.0,0.04375352934996002,63.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,170.0,96.0,0.031080364135414484,84.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,180.0,96.0,0.014998265454408743,70.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,190.0,96.0,0.04441162303469648,94.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,200.0,96.0,-0.004066456660825835,119.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,0.0,120.0,-0.08887771056364757,29.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,10.0,120.0,-0.03993139561232317,39.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,20.0,120.0,-0.0632432739722888,36.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,30.0,120.0,0.0006525917358157773,33.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,40.0,120.0,-0.013188803639946012,44.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,50.0,120.0,0.00373262120226725,66.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,60.0,120.0,0.0177000278684758,70.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,70.0,120.0,0.03330114889725344,60.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,80.0,120.0,-0.012001804678778205,62.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,90.0,120.0,-0.0028629033661475844,111.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,100.0,120.0,0.03282982145838109,103.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,110.0,120.0,0.022658820012204428,98.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,120.0,120.0,-0.03456549798566122,79.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,130.0,120.0,-0.01588219220753384,52.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,140.0,120.0,-0.011026190069799768,44.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,150.0,120.0,0.013068666676280705,56.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,160.0,120.0,0.025879542810114176,64.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,170.0,120.0,-0.015323473779335961,85.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,180.0,120.0,0.004059732083727674,66.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,190.0,120.0,0.014209870052685147,102.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,200.0,120.0,-0.011380206987340213,128.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,0.0,144.0,-0.09162539494176403,31.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,10.0,144.0,-0.04389926600965499,41.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,20.0,144.0,-0.05634289899985645,34.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,30.0,144.0,-0.0022807954512555906,34.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,40.0,144.0,-0.029385842430958764,45.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,50.0,144.0,0.003840145490617619,65.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,60.0,144.0,0.001731558504159958,67.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,70.0,144.0,0.019236301638879016,59.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,80.0,144.0,-0.0070071381380462094,61.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,90.0,144.0,-0.005538636392343976,113.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,100.0,144.0,0.02318888695552057,103.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,110.0,144.0,0.006610690633856775,98.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,120.0,144.0,-0.061493614867442425,79.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,130.0,144.0,-0.018467084656082378,52.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,140.0,144.0,0.021288854825161296,44.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,150.0,144.0,-0.0008919987065140189,54.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,160.0,144.0,0.007140655185981837,64.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,170.0,144.0,0.045250092739669956,85.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,180.0,144.0,-0.010872942932773189,68.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,190.0,144.0,0.01616712676848353,102.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,200.0,144.0,0.0010926124602539389,130.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,0.0,168.0,-0.08786348048226278,30.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,10.0,168.0,-0.046700311959872565,40.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,20.0,168.0,-0.05273930831662321,35.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,30.0,168.0,0.021359223591215004,34.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,40.0,168.0,-0.024680926255293167,41.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,50.0,168.0,0.01015960272109706,66.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,60.0,168.0,-0.0034634920704011973,71.0
